t,sat,gss
449,1,SVA
450,1,SVA
451,1,SVA
452,1,SVA
453,1,SVA
454,1,SVA
455,1,SVA
456,1,SVA
457,1,SVA
458,1,SVA
459,1,SVA
460,1,SVA
461,1,SVA
462,1,SVA
463,1,SVA
464,1,SVA
465,1,SVA
466,1,SVA
467,1,SVA
468,1,SVA
469,1,SVA
470,1,SVA
471,1,SVA
472,1,SVA
473,1,SVA
474,1,SVA
475,1,SVA
476,1,SVA
477,1,SVA
478,1,SVA
479,1,SVA
480,1,SVA
481,1,SVA
482,1,SVA
483,1,SVA
484,1,SVA
485,1,SVA
486,1,SVA
487,1,SVA
488,1,SVA
489,1,SVA
490,1,SVA
491,1,SVA
492,1,SVA
493,1,SVA
494,1,SVA
495,1,SVA
496,1,SVA
497,1,SVA
498,1,SVA
499,1,SVA
500,1,SVA
501,1,SVA
502,1,SVA
503,1,SVA
504,1,SVA
505,1,SVA
506,1,SVA
507,1,SVA
508,1,SVA
509,1,SVA
510,1,SVA
511,1,SVA
512,1,SVA
513,1,SVA
514,1,SVA
515,1,SVA
516,1,SVA
517,1,SVA
518,1,SVA
519,1,SVA
520,1,SVA
521,1,SVA
522,1,SVA
523,1,SVA
524,1,SVA
525,1,SVA
526,1,SVA
527,1,SVA
528,1,SVA
529,1,SVA
530,1,SVA
531,1,SVA
532,1,SVA
533,1,SVA
534,1,SVA
535,1,SVA
536,1,SVA
537,1,SVA
538,1,SVA
539,1,SVA
540,1,SVA
541,1,SVA
542,1,SVA
543,1,SVA
544,1,SVA
545,1,SVA
546,1,SVA
547,1,SVA
548,1,SVA
549,1,SVA
550,1,SVA
551,1,SVA
552,1,SVA
553,1,SVA
554,1,SVA
555,1,SVA
556,1,SVA
557,1,SVA
558,1,SVA
559,1,SVA
560,1,SVA
561,1,SVA
562,1,SVA
563,1,SVA
564,1,SVA
565,1,SVA
566,1,SVA
567,1,SVA
568,1,SVA
569,1,SVA
570,1,SVA
571,1,SVA
572,1,SVA
573,1,SVA
574,1,SVA
575,1,SVA
576,1,SVA
577,1,SVA
578,1,SVA
579,1,SVA
580,1,SVA
581,1,SVA
582,1,SVA
583,1,SVA
584,1,SVA
585,1,SVA
586,1,SVA
587,1,SVA
588,1,SVA
589,1,SVA
590,1,SVA
591,1,SVA
592,1,SVA
593,1,SVA
594,1,SVA
595,1,SVA
596,1,SVA
597,1,SVA
598,1,SVA
599,1,SVA
600,1,SVA
601,1,SVA
602,1,SVA
603,1,SVA
604,1,SVA
605,1,SVA
606,1,SVA
607,1,SVA
608,1,SVA
609,1,SVA
610,1,SVA
611,1,SVA
612,1,SVA
613,1,SVA
614,1,SVA
615,1,SVA
616,1,SVA
617,1,SVA
618,1,SVA
619,1,SVA
620,1,SVA
621,1,SVA
622,1,SVA
623,1,SVA
624,1,SVA
625,1,SVA
626,1,SVA
627,1,SVA
628,1,SVA
629,1,SVA
630,1,SVA
631,1,SVA
632,1,SVA
633,1,SVA
634,1,SVA
635,1,SVA
636,1,SVA
637,1,SVA
638,1,SVA
639,1,SVA
640,1,SVA
641,1,SVA
642,1,SVA
643,1,SVA
644,1,SVA
645,1,SVA
646,1,SVA
647,1,SVA
648,1,SVA
649,1,SVA
650,1,SVA
651,1,SVA
652,1,SVA
653,1,SVA
654,1,SVA
655,1,SVA
656,1,SVA
657,1,SVA
658,1,SVA
659,1,SVA
660,1,SVA
661,1,SVA
662,1,SVA
663,1,SVA
664,1,SVA
665,1,SVA
666,1,SVA
667,1,SVA
668,1,SVA
669,1,SVA
670,1,SVA
671,1,SVA
672,1,SVA
673,1,SVA
674,1,SVA
675,1,SVA
676,1,SVA
677,1,SVA
678,1,SVA
679,1,SVA
680,1,SVA
681,1,SVA
682,1,SVA
683,1,SVA
684,1,SVA
685,1,SVA
686,1,SVA
687,1,SVA
688,1,SVA
689,1,SVA
690,1,SVA
691,1,SVA
692,1,SVA
693,1,SVA
694,1,SVA
695,1,SVA
696,1,SVA
697,1,SVA
698,1,SVA
699,1,SVA
700,1,SVA
701,1,SVA
702,1,SVA
703,1,SVA
704,1,SVA
705,1,SVA
706,1,SVA
707,1,SVA
708,1,SVA
709,1,SVA
710,1,SVA
711,1,SVA
712,1,SVA
713,1,SVA
714,1,SVA
715,1,SVA
716,1,SVA
717,1,SVA
718,1,SVA
719,1,SVA
720,1,SVA
721,1,SVA
722,1,SVA
723,1,SVA
724,1,SVA
725,1,SVA
726,1,SVA
727,1,SVA
728,1,SVA
729,1,SVA
730,1,SVA
731,1,SVA
732,1,SVA
733,1,SVA
734,1,SVA
735,1,SVA
736,1,SVA
737,1,SVA
738,1,SVA
739,1,SVA
740,1,SVA
741,1,SVA
742,1,SVA
743,1,SVA
744,1,SVA
745,1,SVA
746,1,SVA
747,1,SVA
748,1,SVA
749,1,SVA
750,1,SVA
751,1,SVA
752,1,SVA
753,1,SVA
754,1,SVA
755,1,SVA
756,1,SVA
757,1,SVA
758,1,SVA
759,1,SVA
760,1,SVA
761,1,SVA
1855,1,SVA
1856,1,SVA
1857,1,SVA
1858,1,SVA
1859,1,SVA
1860,1,SVA
1861,1,SVA
1862,1,SVA
1863,1,SVA
1864,1,SVA
1865,1,SVA
1866,1,SVA
1867,1,SVA
1868,1,SVA
1869,1,SVA
1870,1,SVA
1871,1,SVA
1872,1,SVA
1873,1,SVA
1874,1,SVA
1875,1,SVA
1876,1,SVA
1877,1,SVA
1878,1,SVA
1879,1,SVA
1880,1,SVA
1881,1,SVA
1882,1,SVA
1883,1,SVA
1884,1,SVA
1885,1,SVA
1886,1,SVA
1887,1,SVA
1888,1,SVA
1889,1,SVA
1890,1,SVA
1891,1,SVA
1892,1,SVA
1893,1,SVA
1894,1,SVA
1895,1,SVA
1896,1,SVA
1897,1,SVA
1898,1,SVA
1899,1,SVA
1900,1,SVA
1901,1,SVA
1902,1,SVA
1903,1,SVA
1904,1,SVA
1905,1,SVA
1906,1,SVA
1907,1,SVA
1908,1,SVA
1909,1,SVA
1910,1,SVA
1911,1,SVA
1912,1,SVA
1913,1,SVA
1914,1,SVA
1915,1,SVA
1916,1,SVA
1917,1,SVA
1918,1,SVA
1919,1,SVA
1920,1,SVA
1921,1,SVA
1922,1,SVA
1923,1,SVA
1924,1,SVA
1925,1,SVA
1926,1,SVA
1927,1,SVA
1928,1,SVA
1929,1,SVA
1930,1,SVA
1931,1,SVA
1932,1,SVA
1933,1,SVA
1934,1,SVA
1935,1,SVA
1936,1,SVA
1937,1,SVA
1938,1,SVA
1939,1,SVA
1940,1,SVA
